OrderID,Month,Region,Product,Quantity,UnitPrice,TotalSales
2001,Jan,North,Laptop,2,700.0,1400.0
2002,Jan,South,Mouse,15,15.0,225.0
2003,Feb,North,Keyboard,10,25.0,250.0
2004,Feb,East,Laptop,2,710.0,1420.0
2005,Mar,West,Monitor,4,180.0,720.0
2006,Mar,South,Mouse,18,15.0,270.0
2007,Apr,East,Laptop,2,705.0,1410.0
2008,Apr,North,Keyboard,8,25.0,200.0
2009,May,West,Monitor,6,185.0,1110.0
2010,May,South,Laptop,2,720.0,1440.0
2011,Jun,East,Mouse,20,16.0,320.0
2012,Jun,North,Monitor,3,190.0,570.0
2013,Jul,South,Laptop,4,707.5,2830.0
2015,Unknown,East,Unknown,15,15.0,225.0
